date,price
2019-11-26,187.600006
2019-11-27,193.199997
2019-11-28,204
2019-11-29,198.399994
2019-12-02,195.5
2019-12-03,192.600006
2019-12-04,189
2019-12-05,192.399994
2019-12-06,197.5
2019-12-09,196.600006
2019-12-10,195.399994
2019-12-11,197.600006
2019-12-12,200.199997
2019-12-13,202
2019-12-16,201
2019-12-17,203.800003
2019-12-18,202.600006
2019-12-19,204.800003
2019-12-20,207
2019-12-23,208.399994
2019-12-24,210.399994
2019-12-27,212.800003
2019-12-30,210.600006
2019-12-31,207.199997
2020-01-02,210
2020-01-03,212
2020-01-06,211
2020-01-07,212.600006
2020-01-08,210.800003
2020-01-09,215.600006
2020-01-10,218
2020-01-13,222.800003
2020-01-14,223.600006
2020-01-15,220.800003
2020-01-16,219.399994
2020-01-17,220.399994
2020-01-20,220.199997
2020-01-21,215.800003
2020-01-22,218.399994
2020-01-23,213.399994
2020-01-24,214.600006
2020-01-29,207.399994
2020-01-30,201.800003
2020-01-31,200.399994
2020-02-03,205
2020-02-04,213.199997
2020-02-05,215.600006
2020-02-06,217.399994
2020-02-07,215.399994
2020-02-10,212.600006
2020-02-11,212.199997
2020-02-12,215
2020-02-13,217.199997
2020-02-14,215
2020-02-17,217.399994
2020-02-18,214
2020-02-19,214
2020-02-20,215.600006
2020-02-21,212.600006
2020-02-24,205.199997
2020-02-25,206.600006
2020-02-26,203
2020-02-27,205.199997
2020-02-28,200
